#hmm_acc	iso_type	hmm_name	hmm_com_name	hmm_len	trusted_cutoff	noise_cutoff	trusted_cutoff2	noise_cutoff2
PF00001	superfamily	7tm_1	7 transmembrane receptor (rhodopsin family)	272	-54.30	-54.40	-54.30	-54.40
PF00002	superfamily	7tm_2	7 transmembrane receptor (Secretin family)	293	-70.00	-70.20	-70.00	-70.20
PF00003	superfamily	7tm_3	7 transmembrane receptor (metabotropic glutamate family)	279	-103.60	-107.80	-103.60	-107.80
PF00004	domain	AAA	ATPase, AAA family	216	12.30	12.20	12.30	12.20
PF00005	domain	ABC_tran	ABC transporter, ATP-binding protein	224	9.80	9.40	9.50	9.40
PF00006	domain	ATP-synt_ab	ATP synthase alpha/beta family, nucleotide-binding domain	206	-37.40	-37.60	-37.40	-37.60
PF00007	domain	Cys_knot	Cystine-knot domain	109	-8.70	-9.40	-8.70	-9.40
PF00008	domain	EGF	EGF-like domain	38	19.50	19.40	19.50	19.40
PF00009	domain	GTP_EFTU	elongation factor Tu GTP binding domain	287	8.00	7.70	8.00	7.70
PF00010	domain	HLH	Helix-loop-helix DNA-binding domain	53	8.30	8.10	8.30	8.10
PF00011	superfamily	HSP20	Hsp20/alpha crystallin family	109	13.00	12.60	13.00	12.60
PF00012	superfamily	HSP70	DnaK family protein	619	-285.00	-287.60	-285.00	-287.60
PF00013	domain	KH_1	KH domain	92	12.50	12.40	12.50	12.40
PF00014	domain	Kunitz_BPTI	Kunitz/Bovine pancreatic trypsin inhibitor domain	54	-9.50	-10.60	-9.50	-10.60
PF00015	domain	MCPsignal	methyl-accepting chemotaxis protein signaling domain	288	-95.60	-95.80	-95.60	-95.80
PF00016	subfamily	RuBisCO_large	Ribulose bisphosphate carboxylase large chain, catalytic domain	317	-76.00	-77.10	-76.00	-77.10
PF00017	domain	SH2	SH2 domain	81	4.50	4.40	4.50	4.40
PF00018	domain	SH3_1	SH3 domain	59	-8.00	-8.10	-8.00	-8.10
PF00019	domain	TGF_beta	Transforming growth factor beta like domain	113	-13.70	-15.40	-13.70	-15.40
PF00020	domain	TNFR_c6	TNFR/NGFR cysteine-rich region	42	25.00	24.80	25.00	24.90
PF00021	domain	UPAR_LY6	u-PAR/Ly-6 domain	84	10.00	9.60	10.00	9.60
PF00022	subfamily	Actin	Actin	499	-143.90	-144.30	-143.90	-144.30
PF00023	repeat	Ank	Ankyrin repeat	33	21.60	21.50	0.00	21.50
PF00024	domain	PAN_1	PAN domain	101	1.40	1.30	1.40	1.30
PF00025	subfamily	Arf	ADP-ribosylation factor family	186	40.20	37.30	40.20	37.30
PF00026	superfamily	Asp	Eukaryotic aspartyl protease	352	-153.80	-153.90	-153.80	-153.90
PF00027	domain	cNMP_binding	cyclic nucleotide-binding domain	98	20.60	20.50	20.60	20.50
PF00028	domain	Cadherin	Cadherin domain	107	10.10	9.80	0.00	9.60
PF00029	subfamily	Connexin	Connexin	128	0.80	-6.50	0.80	-6.50
PF00030	domain	Crystall	Beta/Gamma crystallin	92	17.20	7.70	10.50	7.90
PF00031	domain	Cystatin	Cystatin domain	101	18.10	17.40	18.10	17.40
